종목코드,종목명,전일종가,전일대비,목표주가,ROE [%],부채비율 [%],영업이익률 [%],PBR(FY0) [배]
A271940,?일진하이솔루스,"?16,970",?0.18,,?0.45,?7.11,?-12.45,?3.03
A389020,?자람테크놀로지,"?47,600",?0.42,,?-4.67,?6.16,?-18.42,?4.96
A234920,?자이글,"?4,130",?-2.82,,?-28.37,?65.08,?-209.14,?2.86
A110020,?전진바이오팜,"?2,625",?-2.05,,?-81.59,?184.64,?-7.94,?9.66
A361390,?제노코,"?15,170",?1.61,,?4.82,?90.15,?2.09,?3.59
A147830,?제룡산업,"?5,750",?1.59,,?9.73,?6.97,?13.6,?0.91
A033100,?제룡전기,"?49,000",?1.34,,?57.64,?27.14,?38.14,?2.58
A026040,?제이에스티나,"?2,310",?-3.55,,?1.76,?26.27,?-0.77,?0.7
A126880,?제이엔케이글로벌,"?3,730",?-0.53,,?3.33,?156.51,?2.48,?1.08
A418550,?제이오,"?15,070",?-0.59,,?18,?45.94,?10.5,?6.4
A004700,?조광피혁,"?51,600",?-0.58,,?2.23,?16.05,?5.01,?0.73
A001550,?조비,"?10,970",?1.29,,?-15.89,?126.81,?-4.87,?1.39
A120030,?조선선재,"?95,700",?0.00,,?9.22,?6.36,?15.88,?0.74
A018470,?조일알미늄,"?1,471",?0.55,,?-0.07,?104.25,?1.82,?1.38
A063160,?종근당바이오,"?22,950",?2.23,,?-17.87,?138.8,?-12.57,?1.06
A072020,?중앙백신,"?10,170",?-0.88,,?6.15,?19.83,?16.7,?1.07
A303030,?지니틱스,"?1,150",?4.93,,?-30.88,?76.13,?-18.29,?3.51
A358570,?지아이이노베이션,"?9,250",?-3.44,,?-66.32,?13.44,?-1002.18,?7.42
A053050,?지에스이,"?3,350",?0.30,,?6.17,?126.11,?2.6,?1.08
A088790,?진도,"?1,823",?2.53,,?4.15,?15.62,?6.67,?0.24
A109820,?진매트릭스,"?3,725",?-2.10,,?-3.78,?35.45,?-25.96,?2.74
A007370,?진양제약,"?7,880",?-0.63,,?15.15,?33.85,?9.65,?0.78
A051630,?진양화학,"?3,515",?2.03,,?-6.45,?53.24,?-7.59,?1.46
A272450,?진에어,"?9,890",?-0.90,"?15,000",?112.52,?566.02,?14.26,?4.03
A002780,?진흥기업,?826,?-0.24,,?18.4,?114.39,?6.81,?0.63
A261780,?차백신연구소,"?3,515",?-0.99,,?-5.09,?27.39,?-2182.53,?4.26
A000650,?천일고속,"?36,000",?0.70,,?-21.08,?187.23,?-11.7,?3.54
A323410,?카카오뱅크,"?21,650",?0.00,"?29,500",?12,?1581.32,?46.72,?4.44
A006380,?카프로,"?3,660",?0.00,,?-3002.99,?-1029.21,?-52.22,?-1.47
A313760,?캐리,"?3,570",?-3.64,,?-82.18,?104.06,?-79.89,?2.83
A452300,?캡스톤파트너스,"?2,835",?-0.35,,?-16.54,?16.79,?-25.58,?2.35
A307930,?컴퍼니케이,"?5,030",?-0.20,,?-7.65,?7.54,?-31.25,?1.45
A115500,?케이씨에스,"?11,340",?-10.85,,?14.69,?36.6,?6.61,?4.27
A281820,?케이씨텍,"?32,600",?0.62,,?7.22,?10.46,?11.4,?1.21
A089150,?케이씨티,"?2,540",?-1.36,,?3.36,?55.62,?13.43,?1.45
A073010,?케이에스피,"?4,560",?-1.72,,?31.81,?62.82,?14.5,?2.34
A225430,?케이엠제약,?629,?-0.79,,?-3.68,?42.5,?-6.14,?0.77
A381970,?케이카,"?12,700",?0.47,,?11.8,?135.88,?2.88,?2.4
A036030,?케이티알파,"?3,590",?-0.28,,?6.92,?76.77,?2.86,?1.2
A054410,?케이피티유,"?3,250",?1.56,,?6.55,?95.23,?2.43,?0.61
A220260,?켐트로스,"?4,830",?0.21,,?4.65,?58.63,?7.23,?3.08
A402030,?코난테크놀로지,"?21,350",?-3.61,,?-27.31,?53.05,?-45.01,?11.85
A391710,?코닉오토메이션,"?1,601",?-0.12,,?9.63,?62.93,?6.74,?4.12
A190650,?코리아에셋투자증권,"?5,580",?0.36,,?6.41,?219.74,?14.23,?0.36
A005070,?코스모신소재,"?57,600",?-0.69,,?7.41,?40.5,?5.13,?10
A355150,?코스텍시스,"?5,650",?4.63,,?-64.48,?46.14,?-11.43,?3.24
A029960,?코엔텍,"?8,950",?0.22,,?19.79,?23.16,?43.66,?1.81
A950160,?코오롱티슈진,"?29,700",?4.58,,?-16.69,?17.35,?-553.26,?5.7
A448710,?코츠테크놀로지,"?14,810",?-2.18,,?26.63,?76.71,?17.16,?1.88
A015710,?코콤,"?4,610",?0.00,,?2.49,?15.42,?1.9,?0.65
A432720,?퀄리타스반도체,"?9,960",?-1.87,,?-68.32,?46.85,?-103.82,?15.23
A365270,?큐라클,"?6,220",?1.63,,?-26.32,?66.69,?-102.08,?3.85
A348080,?큐라티스,?605,?0.33,,?-231.23,?72.29,?-1674.04,?2.39
A060280,?큐렉소,"?7,730",?5.17,,?-5.33,?6.91,?1.56,?7.59
A016600,?큐캐피탈,?274,?-0.72,,?5.38,?25.55,?41.79,?0.46
A264900,?크라운제과,"?7,870",?-0.13,,?11.81,?65.32,?6.54,?0.53
A036170,?클라우드에어,?880,?-1.35,,?7.15,?2.01,?0.1,?0.45
